library	read_counts
insilico_ribodepleted_reads/R-PL-J21.nonrrna_1.fastq	10638859
insilico_ribodepleted_reads/D-VA-M21.nonrrna_1.fastq	26147902
insilico_ribodepleted_reads/C-HP-M21.nonrrna_1.fastq	24910020
insilico_ribodepleted_reads/T-GM-M21.nonrrna_1.fastq	15361451
insilico_ribodepleted_reads/R-VA-M21.nonrrna_1.fastq	25857445
insilico_ribodepleted_reads/D-PL-J21.nonrrna_1.fastq	18938751
insilico_ribodepleted_reads/C-AM-M21.nonrrna_1.fastq	18822861
insilico_ribodepleted_reads/M-PL-M21.nonrrna_1.fastq	23877348
insilico_ribodepleted_reads/T-JV-J21.nonrrna_2.fastq	17471640
insilico_ribodepleted_reads/C-JV-M20.nonrrna_1.fastq	19386402
insilico_ribodepleted_reads/C-RA-M21.nonrrna_1.fastq	25790049
insilico_ribodepleted_reads/M-VA-J21.nonrrna_1.fastq	22642464
insilico_ribodepleted_reads/T-HP-A20.nonrrna_2.fastq	21108690
insilico_ribodepleted_reads/T-AM-A20.nonrrna_2.fastq	2196799
insilico_ribodepleted_reads/T-RA-A20.nonrrna_2.fastq	16188891
insilico_ribodepleted_reads/Pos_control.nonrrna_1.fastq	26450029
insilico_ribodepleted_reads/M-VA-M21.nonrrna_2.fastq	22471699
insilico_ribodepleted_reads/C-RA-J21.nonrrna_2.fastq	25363121
insilico_ribodepleted_reads/T-AM-M20.nonrrna_1.fastq	13930683
insilico_ribodepleted_reads/T-RA-M20.nonrrna_1.fastq	17106625
insilico_ribodepleted_reads/T-JV-M21.nonrrna_1.fastq	21228365
insilico_ribodepleted_reads/M-PL-J21.nonrrna_2.fastq	20726054
insilico_ribodepleted_reads/C-AM-J21.nonrrna_2.fastq	24656081
insilico_ribodepleted_reads/D-PL-M21.nonrrna_2.fastq	13936290
insilico_ribodepleted_reads/R-VA-J21.nonrrna_2.fastq	24776596
insilico_ribodepleted_reads/C-HP-J21.nonrrna_2.fastq	26582618
insilico_ribodepleted_reads/D-VA-J21.nonrrna_2.fastq	17476628
insilico_ribodepleted_reads/C-GM-M20.nonrrna_1.fastq	19926934
insilico_ribodepleted_reads/T-HP-M20.nonrrna_1.fastq	17859223
insilico_ribodepleted_reads/R-PL-M21.nonrrna_2.fastq	24357774
insilico_ribodepleted_reads/C-JV-A20.nonrrna_2.fastq	15121627
insilico_ribodepleted_reads/M-VA-A20.nonrrna_1.fastq	11972716
insilico_ribodepleted_reads/T-JV-A20.nonrrna_2.fastq	12766660
insilico_ribodepleted_reads/D-PL-A20.nonrrna_1.fastq	11785204
insilico_ribodepleted_reads/R-PL-A20.nonrrna_1.fastq	16210035
insilico_ribodepleted_reads/T-RA-J21.nonrrna_2.fastq	18916353
insilico_ribodepleted_reads/M-PL-M20.nonrrna_1.fastq	12936942
insilico_ribodepleted_reads/C-AM-M20.nonrrna_1.fastq	11873258
insilico_ribodepleted_reads/C-RA-M20.nonrrna_1.fastq	13563534
insilico_ribodepleted_reads/C-JV-M21.nonrrna_1.fastq	18967000
insilico_ribodepleted_reads/T-AM-J21.nonrrna_2.fastq	22256155
insilico_ribodepleted_reads/D-VA-M20.nonrrna_1.fastq	2668724
insilico_ribodepleted_reads/T-HP-J21.nonrrna_2.fastq	26334731
insilico_ribodepleted_reads/C-GM-J21.nonrrna_2.fastq	18523399
insilico_ribodepleted_reads/T-BH-M20.nonrrna_1.fastq	11087542
insilico_ribodepleted_reads/T-GM-M20.nonrrna_1.fastq	22471969
insilico_ribodepleted_reads/C-HP-M20.nonrrna_1.fastq	25397726
insilico_ribodepleted_reads/D-VA-A20.nonrrna_2.fastq	14722770
insilico_ribodepleted_reads/C-HP-A20.nonrrna_2.fastq	17266573
insilico_ribodepleted_reads/T-GM-A20.nonrrna_2.fastq	19787830
insilico_ribodepleted_reads/M-PL-A20.nonrrna_2.fastq	10783867
insilico_ribodepleted_reads/C-AM-A20.nonrrna_2.fastq	10596808
insilico_ribodepleted_reads/C-RA-A20.nonrrna_2.fastq	17060180
insilico_ribodepleted_reads/D-PL-M20.nonrrna_2.fastq	9697259
insilico_ribodepleted_reads/D-JA-M21.nonrrna_2.fastq	25654498
insilico_ribodepleted_reads/R-PL-M20.nonrrna_2.fastq	17190777
insilico_ribodepleted_reads/T-HP-M21.nonrrna_1.fastq	23971460
insilico_ribodepleted_reads/C-GM-M21.nonrrna_1.fastq	26484170
insilico_ribodepleted_reads/T-AM-M21.nonrrna_1.fastq	26391036
insilico_ribodepleted_reads/C-JV-J21.nonrrna_2.fastq	24466025
insilico_ribodepleted_reads/M-VA-M20.nonrrna_2.fastq	16221803
insilico_ribodepleted_reads/T-JV-M20.nonrrna_1.fastq	20305689
insilico_ribodepleted_reads/T-RA-M21.nonrrna_1.fastq	23792678
insilico_ribodepleted_reads/R-PL-A20.nonrrna_2.fastq	16210035
insilico_ribodepleted_reads/D-PL-A20.nonrrna_2.fastq	11785204
insilico_ribodepleted_reads/T-JV-A20.nonrrna_1.fastq	12766660
insilico_ribodepleted_reads/M-VA-A20.nonrrna_2.fastq	11972716
insilico_ribodepleted_reads/C-HP-M20.nonrrna_2.fastq	25397726
insilico_ribodepleted_reads/T-GM-M20.nonrrna_2.fastq	22471969
insilico_ribodepleted_reads/C-GM-J21.nonrrna_1.fastq	18523399
insilico_ribodepleted_reads/T-HP-J21.nonrrna_1.fastq	26334731
insilico_ribodepleted_reads/T-BH-M20.nonrrna_2.fastq	11087542
insilico_ribodepleted_reads/D-VA-M20.nonrrna_2.fastq	2668724
insilico_ribodepleted_reads/T-AM-J21.nonrrna_1.fastq	22256155
insilico_ribodepleted_reads/C-JV-M21.nonrrna_2.fastq	18967000
insilico_ribodepleted_reads/C-RA-M20.nonrrna_2.fastq	13563534
insilico_ribodepleted_reads/C-AM-M20.nonrrna_2.fastq	11873258
insilico_ribodepleted_reads/T-RA-J21.nonrrna_1.fastq	18916353
insilico_ribodepleted_reads/M-PL-M20.nonrrna_2.fastq	12936942
insilico_ribodepleted_reads/C-RA-A20.nonrrna_1.fastq	17060180
insilico_ribodepleted_reads/C-AM-A20.nonrrna_1.fastq	10596808
insilico_ribodepleted_reads/M-PL-A20.nonrrna_1.fastq	10783867
insilico_ribodepleted_reads/T-GM-A20.nonrrna_1.fastq	19787830
insilico_ribodepleted_reads/C-HP-A20.nonrrna_1.fastq	17266573
insilico_ribodepleted_reads/D-VA-A20.nonrrna_1.fastq	14722770
insilico_ribodepleted_reads/T-RA-M21.nonrrna_2.fastq	23792678
insilico_ribodepleted_reads/T-JV-M20.nonrrna_2.fastq	20305689
insilico_ribodepleted_reads/C-JV-J21.nonrrna_1.fastq	24466025
insilico_ribodepleted_reads/M-VA-M20.nonrrna_1.fastq	16221803
insilico_ribodepleted_reads/T-AM-M21.nonrrna_2.fastq	26391036
insilico_ribodepleted_reads/R-PL-M20.nonrrna_1.fastq	17190777
insilico_ribodepleted_reads/D-JA-M21.nonrrna_1.fastq	25654498
insilico_ribodepleted_reads/C-GM-M21.nonrrna_2.fastq	26484170
insilico_ribodepleted_reads/T-HP-M21.nonrrna_2.fastq	23971460
insilico_ribodepleted_reads/D-PL-M20.nonrrna_1.fastq	9697259
