	library	total_trimmed_reads	ribodepleted_reads	ribo_perc
1	M.PL.A20	23183030	10783867	46.5162103486904
2	M.JV.J21	20327756	18802467	92.4965205210059
3	R.RA.M21	27053247	22977805	84.9354792790677
4	D.JV.A20	23019345	17169169	74.5858277027431
5	D.PL.J21	19465493	18938751	97.2939704121545
6	D.HP.M20	23285238	15552248	66.7901612171626
7	T.GM.A20	23151461	19787830	85.4711933730662
8	C.AM.M21	19966431	18822861	94.2725367392901
9	C.GM.M20	25204146	19926934	79.0621273182595
10	R.HP.M21	21564800	20725358	96.1073508680813
11	M.GM.M21	26178430	24794778	94.7145340648771
12	M.AM.M20	19433156	13045550	67.1303724418206
13	D.RA.M20	20403704	10241774	50.1956605526134
14	T.PL.M21	27358985	21880740	79.9764318742088
15	M.VA.J21	27996845	22642464	80.8750557428882
16	R.PL.J21	26664806	10638859	39.8985051681981
17	R.HP.M20	23244582	14183436	61.0182450258731
18	M.GM.M20	21338418	19197524	89.9669506895966
19	M.AM.M21	26228079	25537549	97.3672109192595
20	R.JV.A20	3604423	2690867	74.65458410403
21	C.JV.J21	26121654	24466025	93.6618523467159
22	C.PL.A20	23319026	15681710	67.2485634691603
23	D.RA.M21	20525498	15020475	73.17958862679
24	D.VA.A20	20996508	14722770	70.1200885404373
25	T.PL.M20	23066546	11558494	50.1093401673575
26	T.HP.J21	27734476	26334731	94.9530504921023
27	R.RA.M20	23164926	19364005	83.5919139133015
28	D.HP.M21	27850171	24984271	89.709578443881
29	T.AM.A20	19820565	2196799	11.0834327881168
30	C.AM.M20	22224131	11873258	53.425072053436
31	C.GM.M21	27933964	26484170	94.8099238618622
32	T.RA.J21	20230798	18916353	93.5027525854393
33	R.AM.A20	20903314	16744937	80.1066137168489
34	M.JV.M21	25891686	24891223	96.1359681250576
35	R.RA.J21	25460783	23560536	92.5365728147481
36	C.RA.A20	22860941	17060180	74.625887009638
37	D.PL.M21	21306827	13936290	65.4076273299633
38	C.VA.M21	27966450	27250893	97.4413735028936
39	C.AM.J21	26393075	24656081	93.418750941298
40	T.RA.M20	22979970	17106625	74.4414592360216
41	R.PL.M20	20770721	17190777	82.7644692738399
42	R.HP.J21	26817564	25033509	93.3474382684423
43	Neg_control	26007156	25679584	98.7404543580236
44	M.VA.M20	23957966	16221803	67.7094332632411
45	C.JV.M20	28252385	19386402	68.6186387450121
46	C.HP.A20	23545300	17266573	73.3334168602651
47	T.JV.A20	22570222	12766660	56.5641755761197
48	T.PL.J21	26080500	21485889	82.3829642836602
49	T.HP.M20	20928493	17859223	85.3344911169667
50	D.GM.A20	21674890	17496959	80.7245573103255
51	R.PL.M21	26092680	24357774	93.3509857937169
52	M.AM.J21	20022068	19447735	97.1315001027866
53	M.VA.M21	25808446	22471699	87.0711045523624
54	D.RA.J21	19570407	17070642	87.2268113790378
55	C.JV.M21	20391943	18967000	93.0122254657146
56	T.HP.M21	26742252	23971460	89.6388980254916
57	D.AM.A20	22925778	14405866	62.8369776589479
58	R.GM.A20	20826312	18559716	89.1166712570137
59	M.HP.A20	23273526	9702269	41.6880063639691
60	M.JV.M20	22160278	17289192	78.0188407383698
61	M.BH.M20	25997173	8751509	33.663310237617
62	D.PL.M20	22564424	9697259	42.9758765391042
63	D.HP.J21	25899828	23470615	90.6207369408013
64	C.GM.J21	19362288	18523399	95.6674076947931
65	T.RA.M21	25578251	23792678	93.0191747668752
66	R.AM.J21	19338439	17207543	88.9810340948409
67	M.PL.M21	25704103	23877348	92.8931385001064
68	R.VA.M21	28251567	25857445	91.5257019194723
69	R.RA.A20	19921744	18461901	92.6721124415613
70	C.RA.J21	25858648	25363121	98.0837087847748
71	T.GM.M21	23787108	15361451	64.5788929028279
72	T.AM.M20	20755001	13930683	67.1196450436211
73	C.AM.A20	22447435	10596808	47.2072109797845
74	R.JV.M20	23194047	14522789	62.6142949524936
75	M.GM.A20	23338986	13786828	59.0720950773097
76	R.HP.A20	23159023	20465154	88.3679505823713
77	R.BH.M20	23302207	13600272	58.364737726345
78	C.HP.J21	27197203	26582618	97.7402639528778
79	C.PL.M20	24818713	20175541	81.2916487651878
80	T.PL.A20	23282631	14448916	62.0587767765593
81	D.VA.M20	3756360	2668724	71.045480198916
82	T.JV.J21	20623171	17471640	84.7184945515896
83	D.GM.J21	22439473	19028933	84.8011582090186
84	M.RA.J21	20572222	20270453	98.5331239377059
85	M.AM.A20	23242812	7946750	34.1901401603214
86	R.JV.M21	26705554	25429966	95.2235104353199
87	D.RA.A20	24663505	21558767	87.4116107990328
88	C.PL.M21	19377376	17274911	89.1498983144054
89	D.VA.M21	27656090	26147902	94.5466333093362
90	D.AM.J21	21097525	20231216	95.8937884894081
91	M.PL.M20	20940029	12936942	61.7809173043648
92	M.HP.J21	22619524	21691838	95.8987377453213
93	R.GM.J21	27265640	25758406	94.4720388004829
94	D.BH.M20	23173717	12085781	52.1529670876709
95	T.GM.M20	23087172	22471969	97.3353037782194
96	T.AM.M21	27325625	26391036	96.5798074152009
97	D.HP.A20	23279205	20986451	90.1510640075552
98	D.JV.M20	23068243	17012021	73.7464964280114
99	R.VA.J21	28079094	24776596	88.2385877550038
100	R.AM.M21	26447857	24300595	91.8811493876423
101	M.JV.A20	24896961	14550594	58.4432533753818
102	M.PL.J21	24446436	20726054	84.7814953476245
103	M.HP.M20	24093169	22289805	92.5150402589215
104	R.GM.M20	28739857	24712202	85.9858210150454
105	D.PL.A20	22867393	11785204	51.537155984506
106	D.JV.J21	26446402	25973967	98.2136133300855
107	C.RA.M21	26705018	25790049	96.5737937341963
108	M.RA.M20	27862171	22970621	82.4437586001464
109	C.HP.M21	27117754	24910020	91.858713667806
110	D.GM.M21	26510710	23255919	87.7227316808943
111	D.AM.M20	23318338	8333587	35.738340356847
112	T.JV.M21	23199309	21228365	91.5042986840686
113	M.RA.M21	25967024	24267923	93.4566972326132
114	Pos_control	27391734	26450029	96.5620832912586
115	M.VA.A20	23294593	11972716	51.3969743965907
116	R.JV.J21	28161339	27576197	97.9221797656709
117	R.PL.A20	23323198	16210035	69.5017681537498
118	C.HP.M20	26928147	25397726	94.3166494152011
119	C.PL.J21	25832313	23229938	89.9258924278287
120	C.JV.A20	23957775	15121627	63.1178270937097
121	D.GM.M20	21490261	19213061	89.4035721576392
122	T.BH.M20	22627393	11087542	49.0005278115778
123	D.AM.M21	27751067	26508913	95.5239414758359
124	D.JV.M21	26139205	25654498	98.1456704593732
125	T.HP.A20	24285730	21108690	86.9180790530077
126	D.VA.J21	21179975	17476628	82.5148660468202
127	T.JV.M20	28849077	20305689	70.3859225721502
128	R.AM.M20	22894759	17639656	77.0466987662984
129	M.HP.M21	21085740	16439834	77.9665973307079
130	R.GM.M21	26424940	22180764	83.9387487729395
131	T.VA.M21	19616146	17141392	87.384096753766
132	C.RA.M20	25232547	13563534	53.7541216112666
133	T.AM.J21	25811150	22256155	86.2269019396656
134	T.RA.A20	23686381	16188891	68.3468318777782
