D-GM-A20_NODE_1021_length_3598_cov_3.333617	0	no rank	unclassified	1	0	0	0.000	
D-GM-A20_NODE_1165_length_3459_cov_2.763142	2587224	species	Mitovirus sp.	1	1	1	1.000	"d_Viruses;-_Riboviria;k_Orthornavirae;p_Lenarviricota;c_Howeltoviricetes;o_Cryppavirales;f_Mitoviridae;g_Mitovirus;-_unclassified Mitovirus;s_Mitovirus sp."
D-GM-A20_NODE_1302_length_3353_cov_17.313720	2719459	species	Plasmopara viticola lesion associated mitovirus 32	7	7	3	0.890	"d_Viruses;-_Riboviria;k_Orthornavirae;p_Lenarviricota;c_Howeltoviricetes;o_Cryppavirales;f_Mitoviridae;g_Mitovirus;-_unclassified Mitovirus;s_Plasmopara viticola lesion associated mitovirus 32"
D-GM-A20_NODE_1751_length_3088_cov_12.088557	3066919	species	Lwood associated narna-like virus 12	1	1	1	1.000	"d_Viruses;-_Riboviria;k_Orthornavirae;p_Lenarviricota;c_Amabiliviricetes;o_Wolframvirales;f_Narnaviridae;-_unclassified Narnaviridae;s_Lwood associated narna-like virus 12"
D-GM-A20_NODE_1927_length_3010_cov_21.640790	2970163	species	Guiyang mito-like virus 5	5	5	5	1.000	"d_Viruses;-_Riboviria;k_Orthornavirae;p_Lenarviricota;c_Howeltoviricetes;o_Cryppavirales;f_Mitoviridae;-_unclassified Mitoviridae;s_Guiyang mito-like virus 5"
D-GM-A20_NODE_2678_length_2712_cov_9.507389	2788892	no rank	unclassified Mitoviridae	5	5	5	1.000	"d_Viruses;-_Riboviria;k_Orthornavirae;p_Lenarviricota;c_Howeltoviricetes;o_Cryppavirales;f_Mitoviridae;-_unclassified Mitoviridae"
D-GM-A20_NODE_2679_length_2712_cov_4.681319	2587553	no rank	unclassified Botourmiaviridae	1	1	1	1.000	"d_Viruses;-_Riboviria;k_Orthornavirae;p_Lenarviricota;c_Miaviricetes;o_Ourlivirales;f_Botourmiaviridae;-_unclassified Botourmiaviridae"
D-GM-A20_NODE_2925_length_2635_cov_9.388368	2719863	species	Erysiphales associated mitovirus 1	9	9	9	1.000	"d_Viruses;-_Riboviria;k_Orthornavirae;p_Lenarviricota;c_Howeltoviricetes;o_Cryppavirales;f_Mitoviridae;g_Mitovirus;-_unclassified Mitovirus;s_Erysiphales associated mitovirus 1"
D-GM-A20_NODE_3040_length_2606_cov_4.165417	2732892	family	Mitoviridae	5	5	5	1.000	"d_Viruses;-_Riboviria;k_Orthornavirae;p_Lenarviricota;c_Howeltoviricetes;o_Cryppavirales;f_Mitoviridae"
D-GM-A20_NODE_3344_length_2522_cov_12.843610	2732892	family	Mitoviridae	7	7	7	1.000	"d_Viruses;-_Riboviria;k_Orthornavirae;p_Lenarviricota;c_Howeltoviricetes;o_Cryppavirales;f_Mitoviridae"
